direction,seed,selected_rank,feature
PyPI -> NPM,1,83,middle_connect_count
PyPI -> NPM,1,84,middle_permission_count
PyPI -> NPM,1,85,middle_chmod_count
PyPI -> NPM,1,86,late_memory_count
PyPI -> NPM,1,87,late_other_count
PyPI -> NPM,1,88,middle_network_count
PyPI -> NPM,1,89,late_permission_count
PyPI -> NPM,1,90,middle_other_count
PyPI -> NPM,1,91,middle_memory_count
PyPI -> NPM,1,92,late_write_count
PyPI -> NPM,1,93,middle_process_count
PyPI -> NPM,1,94,late_process_count
PyPI -> NPM,1,95,nonstandard_port_count
PyPI -> NPM,1,96,tmp_exec_count
PyPI -> NPM,1,97,middle_write_count
NPM -> PyPI,2,1,spawned_shell
NPM -> PyPI,2,2,memory_ratio
NPM -> PyPI,2,3,exec_ratio
NPM -> PyPI,2,4,connect_unix_socket_count
NPM -> PyPI,2,5,process_syscall_count
NPM -> PyPI,2,6,exec_shell_count
NPM -> PyPI,2,7,execve_count
NPM -> PyPI,2,8,permission_ratio
NPM -> PyPI,2,9,error_unique_count
NPM -> PyPI,2,10,process_ratio
NPM -> PyPI,2,11,late_execve_count
NPM -> PyPI,2,12,num_processes_with_shell
NPM -> PyPI,2,13,write_open_count
NPM -> PyPI,2,14,failed_execve_count
NPM -> PyPI,2,15,tmp_write_open_count
NPM -> PyPI,2,16,late_permission_count
NPM -> PyPI,2,17,mkdirat_count
NPM -> PyPI,2,18,tmp_chmod_count
NPM -> PyPI,2,19,readlinkat_count
NPM -> PyPI,2,20,hidden_path_count
NPM -> PyPI,2,21,uses_curl_shell_pattern
NPM -> PyPI,2,22,fchmodat_count
NPM -> PyPI,2,23,late_file_count
NPM -> PyPI,2,24,chmod_path_count
NPM -> PyPI,2,25,socket_count
NPM -> PyPI,2,26,sensitive_path_count
NPM -> PyPI,2,27,memory_syscall_count
NPM -> PyPI,2,28,write_count
NPM -> PyPI,2,29,openat_count
NPM -> PyPI,2,30,permission_syscall_count
NPM -> PyPI,2,31,exec_downloader_count
NPM -> PyPI,2,32,failed_connect_count
NPM -> PyPI,2,33,mprotect_count
NPM -> PyPI,2,34,home_path_count
NPM -> PyPI,2,35,early_other_count
NPM -> PyPI,2,36,late_process_count
NPM -> PyPI,2,37,failed_open_count
NPM -> PyPI,2,38,middle_chmod_count
NPM -> PyPI,2,39,faccessat_count
NPM -> PyPI,2,40,total_syscalls
NPM -> PyPI,2,41,early_permission_count
NPM -> PyPI,2,42,late_chmod_count
NPM -> PyPI,2,43,late_other_count
NPM -> PyPI,2,44,futex_count
NPM -> PyPI,2,45,touched_env_file
NPM -> PyPI,2,46,unlinkat_count
NPM -> PyPI,2,47,middle_execve_count
NPM -> PyPI,2,48,uses_base64_keyword
NPM -> PyPI,2,49,middle_permission_count
NPM -> PyPI,2,50,port_80_count
NPM -> PyPI,2,51,early_chmod_count
NPM -> PyPI,2,52,middle_process_count
NPM -> PyPI,2,53,network_syscall_count
NPM -> PyPI,2,54,early_connect_count
NPM -> PyPI,2,55,middle_other_count
NPM -> PyPI,2,56,touched_ssh
NPM -> PyPI,2,57,uses_wget_shell_pattern
NPM -> PyPI,2,58,ENOTDIR_count
NPM -> PyPI,2,59,EACCES_count
NPM -> PyPI,2,60,sequence_truncated
NPM -> PyPI,2,61,recvfrom_count
NPM -> PyPI,2,62,bind_count
NPM -> PyPI,2,63,tmp_path_count
NPM -> PyPI,2,64,middle_network_count
NPM -> PyPI,2,65,connect_count
NPM -> PyPI,2,66,late_memory_count
NPM -> PyPI,2,67,path_total_count
NPM -> PyPI,2,68,file_syscall_count
NPM -> PyPI,2,69,early_network_count
NPM -> PyPI,2,70,EINVAL_count
NPM -> PyPI,2,71,max_syscalls_in_one_process
NPM -> PyPI,2,72,EEXIST_count
NPM -> PyPI,2,73,close_count
NPM -> PyPI,2,74,middle_connect_count
NPM -> PyPI,2,75,connect_ipv4_count
NPM -> PyPI,2,76,exec_remote_tool_count
NPM -> PyPI,2,77,munmap_count
NPM -> PyPI,2,78,write_ratio
NPM -> PyPI,2,79,sequence_token_count
NPM -> PyPI,2,80,renameat_count
NPM -> PyPI,2,81,failed_syscall_count
NPM -> PyPI,2,82,late_write_count
NPM -> PyPI,2,83,middle_write_count
NPM -> PyPI,2,84,port_443_count
NPM -> PyPI,2,85,ENOENT_count
NPM -> PyPI,2,86,tmp_exec_count
NPM -> PyPI,2,87,sendto_count
NPM -> PyPI,2,88,middle_file_count
NPM -> PyPI,2,89,read_count
NPM -> PyPI,2,90,early_write_count
NPM -> PyPI,2,91,recvmsg_count
NPM -> PyPI,2,92,first_connect_offset
NPM -> PyPI,2,93,middle_memory_count
NPM -> PyPI,2,94,brk_count
NPM -> PyPI,2,95,first_chmod_offset
NPM -> PyPI,2,96,early_process_count
NPM -> PyPI,2,97,mmap_count
PyPI -> NPM,2,1,EEXIST_count
PyPI -> NPM,2,2,write_open_count
PyPI -> NPM,2,3,tmp_write_open_count
PyPI -> NPM,2,4,mkdirat_count
PyPI -> NPM,2,5,unlinkat_count
PyPI -> NPM,2,6,renameat_count
PyPI -> NPM,2,7,tmp_path_count
PyPI -> NPM,2,8,num_processes_with_shell
PyPI -> NPM,2,9,memory_syscall_count
PyPI -> NPM,2,10,home_path_count
PyPI -> NPM,2,11,early_permission_count
PyPI -> NPM,2,12,tmp_chmod_count
PyPI -> NPM,2,13,munmap_count
PyPI -> NPM,2,14,brk_count
PyPI -> NPM,2,15,close_count
PyPI -> NPM,2,16,mprotect_count
PyPI -> NPM,2,17,path_total_count
PyPI -> NPM,2,18,chmod_path_count
PyPI -> NPM,2,19,permission_ratio
PyPI -> NPM,2,20,spawned_shell
PyPI -> NPM,2,21,fchmodat_count
PyPI -> NPM,2,22,permission_syscall_count
PyPI -> NPM,2,23,write_ratio
PyPI -> NPM,2,24,early_chmod_count
PyPI -> NPM,2,25,hidden_path_count
PyPI -> NPM,2,26,write_count
PyPI -> NPM,2,27,total_syscalls
PyPI -> NPM,2,28,early_other_count
PyPI -> NPM,2,29,early_write_count
PyPI -> NPM,2,30,memory_ratio
PyPI -> NPM,2,31,exec_ratio
PyPI -> NPM,2,32,openat_count
PyPI -> NPM,2,33,file_syscall_count
PyPI -> NPM,2,34,failed_syscall_count
PyPI -> NPM,2,35,process_ratio
PyPI -> NPM,2,36,mmap_count
PyPI -> NPM,2,37,max_syscalls_in_one_process
PyPI -> NPM,2,38,process_syscall_count
PyPI -> NPM,2,39,read_count
PyPI -> NPM,2,40,sequence_token_count
PyPI -> NPM,2,41,network_syscall_count
PyPI -> NPM,2,42,early_network_count
PyPI -> NPM,2,43,futex_count
PyPI -> NPM,2,44,ENOENT_count
PyPI -> NPM,2,45,connect_unix_socket_count
PyPI -> NPM,2,46,socket_count
PyPI -> NPM,2,47,first_chmod_offset
PyPI -> NPM,2,48,failed_open_count
PyPI -> NPM,2,49,early_connect_count
PyPI -> NPM,2,50,bind_count
PyPI -> NPM,2,51,recvfrom_count
PyPI -> NPM,2,52,failed_connect_count
PyPI -> NPM,2,53,connect_count
PyPI -> NPM,2,54,exec_shell_count
PyPI -> NPM,2,55,error_unique_count
PyPI -> NPM,2,56,connect_ipv4_count
PyPI -> NPM,2,57,exec_remote_tool_count
PyPI -> NPM,2,58,sendto_count
PyPI -> NPM,2,59,recvmsg_count
PyPI -> NPM,2,60,sensitive_path_count
PyPI -> NPM,2,61,ENOTDIR_count
PyPI -> NPM,2,62,execve_count
PyPI -> NPM,2,63,port_443_count
PyPI -> NPM,2,64,failed_execve_count
PyPI -> NPM,2,65,early_process_count
PyPI -> NPM,2,66,sequence_truncated
PyPI -> NPM,2,67,faccessat_count
PyPI -> NPM,2,68,EINVAL_count
PyPI -> NPM,2,69,late_file_count
PyPI -> NPM,2,70,first_connect_offset
PyPI -> NPM,2,71,readlinkat_count
PyPI -> NPM,2,72,exec_downloader_count
PyPI -> NPM,2,73,port_80_count
PyPI -> NPM,2,74,uses_curl_shell_pattern
PyPI -> NPM,2,75,EACCES_count
PyPI -> NPM,2,76,late_execve_count
PyPI -> NPM,2,77,touched_ssh
PyPI -> NPM,2,78,uses_base64_keyword
PyPI -> NPM,2,79,middle_process_count
PyPI -> NPM,2,80,uses_wget_shell_pattern
PyPI -> NPM,2,81,touched_env_file
PyPI -> NPM,2,82,middle_execve_count
PyPI -> NPM,2,83,middle_chmod_count
PyPI -> NPM,2,84,late_permission_count
PyPI -> NPM,2,85,middle_other_count
PyPI -> NPM,2,86,late_chmod_count
PyPI -> NPM,2,87,middle_network_count
PyPI -> NPM,2,88,late_other_count
PyPI -> NPM,2,89,middle_permission_count
PyPI -> NPM,2,90,late_process_count
PyPI -> NPM,2,91,middle_write_count
PyPI -> NPM,2,92,middle_connect_count
PyPI -> NPM,2,93,late_write_count
PyPI -> NPM,2,94,tmp_exec_count
PyPI -> NPM,2,95,late_memory_count
PyPI -> NPM,2,96,middle_file_count
PyPI -> NPM,2,97,middle_memory_count
NPM -> PyPI,3,1,error_unique_count
NPM -> PyPI,3,2,exec_ratio
NPM -> PyPI,3,3,memory_ratio
NPM -> PyPI,3,4,exec_shell_count
NPM -> PyPI,3,5,connect_unix_socket_count
NPM -> PyPI,3,6,execve_count
NPM -> PyPI,3,7,tmp_exec_count
NPM -> PyPI,3,8,num_processes_with_shell
NPM -> PyPI,3,9,tmp_write_open_count
NPM -> PyPI,3,10,write_open_count
NPM -> PyPI,3,11,process_ratio
NPM -> PyPI,3,12,late_execve_count
NPM -> PyPI,3,13,late_memory_count
NPM -> PyPI,3,14,failed_connect_ratio
NPM -> PyPI,3,15,memory_syscall_count
NPM -> PyPI,3,16,tmp_path_count
NPM -> PyPI,3,17,tmp_chmod_count
NPM -> PyPI,3,18,write_count
NPM -> PyPI,3,19,home_path_count
NPM -> PyPI,3,20,unique_syscalls
NPM -> PyPI,3,21,uses_curl_shell_pattern
NPM -> PyPI,3,22,sensitive_path_count
NPM -> PyPI,3,23,permission_ratio
NPM -> PyPI,3,24,chmod_path_count
NPM -> PyPI,3,25,hidden_path_count
NPM -> PyPI,3,26,late_chmod_count
NPM -> PyPI,3,27,late_permission_count
NPM -> PyPI,3,28,late_other_count
NPM -> PyPI,3,29,failed_execve_count
NPM -> PyPI,3,30,mkdirat_count
NPM -> PyPI,3,31,late_process_count
NPM -> PyPI,3,32,openat_count
NPM -> PyPI,3,33,early_other_count
NPM -> PyPI,3,34,fchmodat_count
NPM -> PyPI,3,35,recvfrom_count
NPM -> PyPI,3,36,failed_open_count
NPM -> PyPI,3,37,process_syscall_count
NPM -> PyPI,3,38,successful_connect_count
NPM -> PyPI,3,39,early_permission_count
NPM -> PyPI,3,40,readlinkat_count
NPM -> PyPI,3,41,path_total_count
NPM -> PyPI,3,42,touched_env_file
NPM -> PyPI,3,43,exec_downloader_count
NPM -> PyPI,3,44,port_80_count
NPM -> PyPI,3,45,middle_chmod_count
NPM -> PyPI,3,46,futex_count
NPM -> PyPI,3,47,bind_count
NPM -> PyPI,3,48,total_syscalls
NPM -> PyPI,3,49,permission_syscall_count
NPM -> PyPI,3,50,first_connect_offset
NPM -> PyPI,3,51,failed_syscall_count
NPM -> PyPI,3,52,mprotect_count
NPM -> PyPI,3,53,touched_ssh
NPM -> PyPI,3,54,uses_base64_keyword
NPM -> PyPI,3,55,middle_connect_count
NPM -> PyPI,3,56,munmap_count
NPM -> PyPI,3,57,middle_execve_count
NPM -> PyPI,3,58,uses_wget_shell_pattern
NPM -> PyPI,3,59,middle_process_count
NPM -> PyPI,3,60,ENOTDIR_count
NPM -> PyPI,3,61,middle_permission_count
NPM -> PyPI,3,62,EACCES_count
NPM -> PyPI,3,63,middle_write_count
NPM -> PyPI,3,64,late_file_count
