experiment,seed,fusion_type,n_features,models_used,source_threshold,target_threshold,source_pred_rate,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,42,raw_score_mean,97,"HistGradientBoosting,XGBoost,CatBoost,LightGBM,ExtraTrees",0.27,0.27,0.494572591587517,0.5135685210312076,0.5135685210312076,0.5068870523415978,0.9986431478968792,0.6724531749657378,0.7374224228555017,21,716,1,736,717,0.27
NPM -> PyPI,42,source_zscore_mean,97,"HistGradientBoosting,XGBoost,CatBoost,LightGBM,ExtraTrees",0.05,0.05,0.48507462686567165,0.6194029850746269,0.6194029850746269,0.5773286467486819,0.8914518317503393,0.7008,0.7351763447472148,256,481,80,657,561,0.05
NPM -> PyPI,42,source_platt_calibrated_mean,97,"HistGradientBoosting,XGBoost,CatBoost,LightGBM,ExtraTrees",0.16,0.16,0.5,0.5033921302578019,0.5033921302578019,0.5017018379850239,1.0,0.6681776971894833,0.6997840451130312,5,732,0,737,732,0.16
NPM -> PyPI,42,percentile_rank_mean,97,"HistGradientBoosting,XGBoost,CatBoost,LightGBM,ExtraTrees",0.51,0.5291329217978198,0.48846675712347354,0.7862957937584804,0.7862957937584804,0.7930555555555555,0.7747625508819539,0.7838023335621139,0.8093088891302707,588,149,166,571,315,0.5291329217978198
NPM -> PyPI,99,raw_score_mean,97,"XGBoost,ExtraTrees,LightGBM,HistGradientBoosting,CatBoost",0.45,0.45,0.48778833107191316,0.7754409769335142,0.7754409769335142,0.7399527186761229,0.8493894165535957,0.7909033480732786,0.8674326038488942,517,220,111,626,331,0.45
NPM -> PyPI,99,source_zscore_mean,97,"XGBoost,ExtraTrees,LightGBM,HistGradientBoosting,CatBoost",0.05,0.05,0.4864314789687924,0.7978290366350068,0.7978290366350067,0.8424336973478939,0.7327001356852103,0.783744557329463,0.8676903505170582,636,101,197,540,298,0.05
NPM -> PyPI,99,source_platt_calibrated_mean,97,"XGBoost,ExtraTrees,LightGBM,HistGradientBoosting,CatBoost",0.19,0.19,0.49864314789687925,0.5033921302578019,0.5033921302578019,0.5017018379850239,1.0,0.6681776971894833,0.8624194311531034,5,732,0,737,732,0.19
NPM -> PyPI,99,percentile_rank_mean,97,"XGBoost,ExtraTrees,LightGBM,HistGradientBoosting,CatBoost",0.51,0.5651967435549525,0.4871099050203528,0.8208955223880597,0.8208955223880596,0.8289290681502086,0.8086838534599728,0.8186813186813187,0.8667679856545568,614,123,141,596,264,0.5651967435549525
NPM -> PyPI,123,raw_score_mean,97,"HistGradientBoosting,LightGBM,XGBoost,CatBoost,RandomForest",0.37,0.37,0.49050203527815467,0.567842605156038,0.567842605156038,0.537147102526003,0.9810040705563093,0.6941910705712914,0.6436155229771949,114,623,14,723,637,0.37
NPM -> PyPI,123,source_zscore_mean,97,"HistGradientBoosting,LightGBM,XGBoost,CatBoost,RandomForest",0.05,0.05,0.48507462686567165,0.6058344640434192,0.6058344640434192,0.5657672849915683,0.9104477611940298,0.6978679147165887,0.6426324035429121,222,515,66,671,581,0.05
NPM -> PyPI,123,source_platt_calibrated_mean,97,"HistGradientBoosting,LightGBM,XGBoost,CatBoost,RandomForest",0.27,0.27,0.49525101763907736,0.5413839891451832,0.5413839891451832,0.5216158752657689,0.9986431478968792,0.6852886405959032,0.637749945228833,62,675,1,736,676,0.27
NPM -> PyPI,123,percentile_rank_mean,97,"HistGradientBoosting,LightGBM,XGBoost,CatBoost,RandomForest",0.51,0.5518648891965484,0.48846675712347354,0.7754409769335142,0.7754409769335142,0.7819444444444444,0.7639077340569878,0.7728208647906658,0.7951714843814724,580,157,174,563,331,0.5518648891965484
PyPI -> NPM,0,raw_score_mean,97,"ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost",0.48,0.48,0.4993215739484396,0.8215739484396201,0.8215739484396201,0.7443298969072165,0.9796472184531886,0.8459285295840656,0.9568918697495622,489,248,15,722,263,0.48
PyPI -> NPM,0,source_zscore_mean,97,"ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost",0.18,0.18,0.4918588873812754,0.8263229308005428,0.8263229308005428,0.7523609653725079,0.9728629579375848,0.8485207100591716,0.9571146365127612,501,236,20,717,256,0.18
PyPI -> NPM,0,source_platt_calibrated_mean,97,"ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost",0.48,0.48,0.4993215739484396,0.8215739484396201,0.8215739484396201,0.7443298969072165,0.9796472184531886,0.8459285295840656,0.9582100598524584,489,248,15,722,263,0.48
PyPI -> NPM,0,percentile_rank_mean,97,"ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost",0.48,0.5485813807489013,0.5149253731343284,0.8792401628222524,0.8792401628222524,0.8682476943346509,0.8941655359565808,0.8810160427807486,0.9591048090005136,637,100,78,659,178,0.5485813807489013
PyPI -> NPM,1,raw_score_mean,97,"ExtraTrees,LightGBM,HistGradientBoosting,XGBoost,RandomForest",0.44,0.44,0.49592944369063774,0.8181818181818182,0.8181818181818181,0.7395301327885597,0.9823609226594301,0.8438228438228438,0.9676822499074873,482,255,13,724,268,0.44
PyPI -> NPM,1,source_zscore_mean,97,"ExtraTrees,LightGBM,HistGradientBoosting,XGBoost,RandomForest",0.12,0.12,0.4891451831750339,0.8256445047489823,0.8256445047489824,0.75,0.9769335142469471,0.8485562757807896,0.9680734725288078,497,240,17,720,257,0.12
PyPI -> NPM,1,source_platt_calibrated_mean,97,"ExtraTrees,LightGBM,HistGradientBoosting,XGBoost,RandomForest",0.6,0.6,0.4864314789687924,0.8242876526458616,0.8242876526458616,0.751578947368421,0.9687924016282226,0.8464730290456431,0.9711093600702543,501,236,23,714,259,0.6
PyPI -> NPM,1,percentile_rank_mean,97,"ExtraTrees,LightGBM,HistGradientBoosting,XGBoost,RandomForest",0.5,0.490908170385276,0.4966078697421981,0.9260515603799185,0.9260515603799186,0.9289617486338798,0.9226594301221167,0.9257998638529612,0.9721725650764311,685,52,57,680,109,0.490908170385276
PyPI -> NPM,2,raw_score_mean,97,"LightGBM,XGBoost,ExtraTrees,HistGradientBoosting,RandomForest",0.53,0.53,0.49118046132971505,0.8175033921302578,0.8175033921302578,0.7412371134020619,0.9755766621438263,0.8424135910954892,0.9652005177025935,486,251,18,719,269,0.53
PyPI -> NPM,2,source_zscore_mean,97,"LightGBM,XGBoost,ExtraTrees,HistGradientBoosting,RandomForest",0.07,0.07,0.49050203527815467,0.8175033921302578,0.8175033921302578,0.7412371134020619,0.9755766621438263,0.8424135910954892,0.9652953316555254,486,251,18,719,269,0.07
PyPI -> NPM,2,source_platt_calibrated_mean,97,"LightGBM,XGBoost,ExtraTrees,HistGradientBoosting,RandomForest",0.56,0.56,0.4898236092265943,0.819538670284939,0.819538670284939,0.7435367114788004,0.9755766621438263,0.8438967136150235,0.9680697904335483,489,248,18,719,266,0.56
PyPI -> NPM,2,percentile_rank_mean,97,"LightGBM,XGBoost,ExtraTrees,HistGradientBoosting,RandomForest",0.51,0.48242756858362684,0.49118046132971505,0.8934871099050203,0.8934871099050203,0.9005524861878453,0.8846675712347354,0.892539356605065,0.9628191225935208,665,72,85,652,157,0.48242756858362684
PyPI -> NPM,3,raw_score_mean,97,"LightGBM,ExtraTrees,XGBoost,HistGradientBoosting,RandomForest",0.51,0.51,0.4925373134328358,0.8100407055630936,0.8100407055630936,0.731041456016178,0.9810040705563093,0.8377752027809965,0.9559501738869485,471,266,14,723,280,0.51
PyPI -> NPM,3,source_zscore_mean,97,"LightGBM,ExtraTrees,XGBoost,HistGradientBoosting,RandomForest",0.05,0.05,0.4918588873812754,0.8127544097693351,0.8127544097693351,0.7340101522842639,0.9810040705563093,0.8397212543554007,0.9562116026503722,475,262,14,723,276,0.05
PyPI -> NPM,3,source_platt_calibrated_mean,97,"LightGBM,ExtraTrees,XGBoost,HistGradientBoosting,RandomForest",0.47,0.47,0.494572591587517,0.8080054274084125,0.8080054274084125,0.7288306451612904,0.9810040705563093,0.8363215731636784,0.9580213524704098,468,269,14,723,283,0.47
